Model,Year,Month,Quantity,Pct
Ford Fiesta,42249,113,3611,33.516386297
Ford Focus,217200,704,26656,245.76680267099997
Ford Kuga,26189,57,1647,14.058439582000002
Ford Mondeo,181002,594,23870,229.93352224100002
Ford S-Max,28179,56,1979,16.632563408
Nissan Leaf,122851,400,19047,156.383167803
Nissan Qashqai,217289,712,26730,246.26207409999998
Nissan X-Trail,20110,27,1452,13.944330439
Toyota Auris,231339,769,36388,323.74866044500004
Toyota Avensis,186982,581,27940,270.2768956070001
Toyota Corolla,34125,93,3649,34.400000000000006
Toyota Prius,96580,299,8654,79.36552084000003
Toyota RAV4,4025,18,310,2.7
Toyota Rav4,179048,566,24784,214.63499018899995
Toyota Urban Cruiser,24118,80,2055,19.9
Toyota Yaris,225297,740,29534,260.2821479049998
Volkswagen Golf,241380,779,85049,748.7668423430001
Volkswagen Passat,241380,780,40060,365.8435869349999
Volkswagen Polo,120661,375,12132,107.87424481800002
Volkswagen Tiguan,174997,597,21413,198.49732680100007
Volkswagen Touran,36160,91,3346,30.823220809000002
Volkswagen up!,66482,207,7434,60.95649978599999
Volvo V40,60412,197,8197,69.135590475
Volvo V50,92451,285,8608,82.19999999999997
Volvo V60,78497,253,8537,72.327104939
Volvo V70,219236,720,32790,298.5469366429999
Volvo XC60,118729,385,11279,99.9012167
Volvo XC90,14112,28,1066,8.526173704000001
